task_uuid,request_id,src_path,scene,seat,date,task_name,tags,steps,duration,modality,actor,gender,height,weight,age,nationality,origin,status,track,PATH_PREFIX,match
28821815-1150-4926-90b9-6a146d4aae74,793_7,square04/20260119/793_7_1520616728,ITF,square04,2026/1/19,"将""小碗""从桌面放入""篮子""中",左手抓放-带tracker-高度90CM-距离15CM-放入-篮子左侧,"演员呈现初始状态|低头查看""小碗""|使用操作指定的手，抓取并抓紧""小碗""|转头看向""小碗""将要放置的篮子|将""小碗""放置在篮子内|确定放稳""小碗""后，松手并恢复到初始姿态",11.287,6dof-bodywithfingers|6dof-items|vision-ego|vision-side|depth-ego|depth-side|hand-pressure,,male,175.0,60.0,25.0,CN,nr,1,1,square04/20260119/793_7,0
c9416e8b-9b1e-4497-b8b0-5b90a42a9d26,793_8,square04/20260119/793_8_1520616747,ITF,square04,2026/1/19,"将""小碗""从桌面放入""篮子""中",左手抓放-带tracker-高度90CM-距离15CM-放入-篮子左侧,"演员呈现初始状态|低头查看""小碗""|使用操作指定的手，抓取并抓紧""小碗""|转头看向""小碗""将要放置的篮子|将""小碗""放置在篮子内|确定放稳""小碗""后，松手并恢复到初始姿态",12.633,6dof-bodywithfingers|6dof-items|vision-ego|vision-side|depth-ego|depth-side|hand-pressure,,male,175.0,60.0,25.0,CN,nr,1,1,square04/20260119/793_8,0
ba68aeb9-9a59-4e17-8ee4-1b619905097f,793_9,square04/20260119/793_9_1520616766,ITF,square04,2026/1/19,"将""小碗""从桌面放入""篮子""中",左手抓放-带tracker-高度90CM-距离15CM-放入-篮子左侧,"演员呈现初始状态|低头查看""小碗""|使用操作指定的手，抓取并抓紧""小碗""|转头看向""小碗""将要放置的篮子|将""小碗""放置在篮子内|确定放稳""小碗""后，松手并恢复到初始姿态",10.982,6dof-bodywithfingers|6dof-items|vision-ego|vision-side|depth-ego|depth-side|hand-pressure,,male,175.0,60.0,25.0,CN,nr,1,1,square04/20260119/793_9,0
b35715f3-02a6-4921-a11a-f4c8c6d0db8f,793_10,square04/20260119/793_10_1520616792,ITF,square04,2026/1/19,"将""小碗""从桌面放入""篮子""中",左手抓放-带tracker-高度90CM-距离15CM-放入-篮子左侧,"演员呈现初始状态|低头查看""小碗""|使用操作指定的手，抓取并抓紧""小碗""|转头看向""小碗""将要放置的篮子|将""小碗""放置在篮子内|确定放稳""小碗""后，松手并恢复到初始姿态",11.579,6dof-bodywithfingers|6dof-items|vision-ego|vision-side|depth-ego|depth-side|hand-pressure,,male,175.0,60.0,25.0,CN,nr,1,1,square04/20260119/793_10,0
59e740a7-7600-431a-a800-55051bb522a6,793_11,square04/20260119/793_11_1520616812,ITF,square04,2026/1/19,"将""小碗""从桌面放入""篮子""中",左手抓放-带tracker-高度90CM-距离15CM-放入-篮子左侧,"演员呈现初始状态|低头查看""小碗""|使用操作指定的手，抓取并抓紧""小碗""|转头看向""小碗""将要放置的篮子|将""小碗""放置在篮子内|确定放稳""小碗""后，松手并恢复到初始姿态",12.947,6dof-bodywithfingers|6dof-items|vision-ego|vision-side|depth-ego|depth-side|hand-pressure,,male,175.0,60.0,25.0,CN,nr,1,1,square04/20260119/793_11,0
396c8c6b-052b-4dc5-98a2-aee79bc6e9f8,793_12,square04/20260119/793_12_1520616832,ITF,square04,2026/1/19,"将""小碗""从桌面放入""篮子""中",左手抓放-带tracker-高度90CM-距离15CM-放入-篮子左侧,"演员呈现初始状态|低头查看""小碗""|使用操作指定的手，抓取并抓紧""小碗""|转头看向""小碗""将要放置的篮子|将""小碗""放置在篮子内|确定放稳""小碗""后，松手并恢复到初始姿态",11.657,6dof-bodywithfingers|6dof-items|vision-ego|vision-side|depth-ego|depth-side|hand-pressure,,male,175.0,60.0,25.0,CN,nr,1,1,square04/20260119/793_12,0
3757f502-c937-49e4-97d5-4a5aca5d911a,793_13,square04/20260119/793_13_1520616852,ITF,square04,2026/1/19,"将""小碗""从桌面放入""篮子""中",左手抓放-带tracker-高度90CM-距离15CM-放入-篮子左侧,"演员呈现初始状态|低头查看""小碗""|使用操作指定的手，抓取并抓紧""小碗""|转头看向""小碗""将要放置的篮子|将""小碗""放置在篮子内|确定放稳""小碗""后，松手并恢复到初始姿态",13.896,6dof-bodywithfingers|6dof-items|vision-ego|vision-side|depth-ego|depth-side|hand-pressure,,male,175.0,60.0,25.0,CN,nr,1,1,square04/20260119/793_13,0
082eb5c4-987f-49a1-a9d0-8e21dd57b6c7,793_14,square04/20260119/793_14_1520616873,ITF,square04,2026/1/19,"将""小碗""从桌面放入""篮子""中",左手抓放-带tracker-高度90CM-距离15CM-放入-篮子左侧,"演员呈现初始状态|低头查看""小碗""|使用操作指定的手，抓取并抓紧""小碗""|转头看向""小碗""将要放置的篮子|将""小碗""放置在篮子内|确定放稳""小碗""后，松手并恢复到初始姿态",11.17,6dof-bodywithfingers|6dof-items|vision-ego|vision-side|depth-ego|depth-side|hand-pressure,,male,175.0,60.0,25.0,CN,nr,1,1,square04/20260119/793_14,0
7dcf3693-181a-454e-90c0-fb7987264a29,793_15,square04/20260119/793_15_1520617522,ITF,square04,2026/1/19,"将""小碗""从桌面放入""篮子""中",左手抓放-带tracker-高度90CM-距离15CM-放入-篮子左侧,"演员呈现初始状态|低头查看""小碗""|使用操作指定的手，抓取并抓紧""小碗""|转头看向""小碗""将要放置的篮子|将""小碗""放置在篮子内|确定放稳""小碗""后，松手并恢复到初始姿态",12.682,6dof-bodywithfingers|6dof-items|vision-ego|vision-side|depth-ego|depth-side|hand-pressure,,male,175.0,60.0,25.0,CN,nr,1,1,square04/20260119/793_15,0
e6a87cb8-3d54-4112-82cd-22605610f4cc,793_16,square04/20260119/793_16_1520617572,ITF,square04,2026/1/19,"将""小碗""从桌面放入""篮子""中",左手抓放-带tracker-高度90CM-距离15CM-放入-篮子左侧,"演员呈现初始状态|低头查看""小碗""|使用操作指定的手，抓取并抓紧""小碗""|转头看向""小碗""将要放置的篮子|将""小碗""放置在篮子内|确定放稳""小碗""后，松手并恢复到初始姿态",12.477,6dof-bodywithfingers|6dof-items|vision-ego|vision-side|depth-ego|depth-side|hand-pressure,,male,175.0,60.0,25.0,CN,nr,1,1,square04/20260119/793_16,0
59183d10-9723-4d95-98e2-762d191c43e7,793_17,square04/20260119/793_17_1520617593,ITF,square04,2026/1/19,"将""小碗""从桌面放入""篮子""中",左手抓放-带tracker-高度90CM-距离15CM-放入-篮子左侧,"演员呈现初始状态|低头查看""小碗""|使用操作指定的手，抓取并抓紧""小碗""|转头看向""小碗""将要放置的篮子|将""小碗""放置在篮子内|确定放稳""小碗""后，松手并恢复到初始姿态",11.881,6dof-bodywithfingers|6dof-items|vision-ego|vision-side|depth-ego|depth-side|hand-pressure,,male,175.0,60.0,25.0,CN,nr,1,1,square04/20260119/793_17,0
82562cec-68d0-4d81-ad56-12f3ce8744e1,793_18,square04/20260119/793_18_1520617612,ITF,square04,2026/1/19,"将""小碗""从桌面放入""篮子""中",左手抓放-带tracker-高度90CM-距离15CM-放入-篮子左侧,"演员呈现初始状态|低头查看""小碗""|使用操作指定的手，抓取并抓紧""小碗""|转头看向""小碗""将要放置的篮子|将""小碗""放置在篮子内|确定放稳""小碗""后，松手并恢复到初始姿态",12.336,6dof-bodywithfingers|6dof-items|vision-ego|vision-side|depth-ego|depth-side|hand-pressure,,male,175.0,60.0,25.0,CN,nr,1,1,square04/20260119/793_18,0
45dc2411-c62f-4e80-8ad1-7ddef4762574,793_19,square04/20260119/793_19_1520617633,ITF,square04,2026/1/19,"将""小碗""从桌面放入""篮子""中",左手抓放-带tracker-高度90CM-距离15CM-放入-篮子左侧,"演员呈现初始状态|低头查看""小碗""|使用操作指定的手，抓取并抓紧""小碗""|转头看向""小碗""将要放置的篮子|将""小碗""放置在篮子内|确定放稳""小碗""后，松手并恢复到初始姿态",13.851,6dof-bodywithfingers|6dof-items|vision-ego|vision-side|depth-ego|depth-side|hand-pressure,,male,175.0,60.0,25.0,CN,nr,1,1,square04/20260119/793_19,0
4e9259ad-7bed-4ef3-9c44-999a9c07d267,793_20,square04/20260119/793_20_1520617653,ITF,square04,2026/1/19,"将""小碗""从桌面放入""篮子""中",左手抓放-带tracker-高度90CM-距离15CM-放入-篮子左侧,"演员呈现初始状态|低头查看""小碗""|使用操作指定的手，抓取并抓紧""小碗""|转头看向""小碗""将要放置的篮子|将""小碗""放置在篮子内|确定放稳""小碗""后，松手并恢复到初始姿态",10.734,6dof-bodywithfingers|6dof-items|vision-ego|vision-side|depth-ego|depth-side|hand-pressure,,male,175.0,60.0,25.0,CN,nr,1,1,square04/20260119/793_20,0
beba368b-7ad7-4547-a74b-568ce8e7dd7b,793_21,square04/20260119/793_21_1520617672,ITF,square04,2026/1/19,"将""小碗""从桌面放入""篮子""中",左手抓放-带tracker-高度90CM-距离15CM-放入-篮子左侧,"演员呈现初始状态|低头查看""小碗""|使用操作指定的手，抓取并抓紧""小碗""|转头看向""小碗""将要放置的篮子|将""小碗""放置在篮子内|确定放稳""小碗""后，松手并恢复到初始姿态",11.533,6dof-bodywithfingers|6dof-items|vision-ego|vision-side|depth-ego|depth-side|hand-pressure,,male,175.0,60.0,25.0,CN,nr,1,1,square04/20260119/793_21,0
2725590a-4f20-42db-8b67-fb62c1197533,793_22,square04/20260119/793_22_1520617691,ITF,square04,2026/1/19,"将""小碗""从桌面放入""篮子""中",左手抓放-带tracker-高度90CM-距离15CM-放入-篮子左侧,"演员呈现初始状态|低头查看""小碗""|使用操作指定的手，抓取并抓紧""小碗""|转头看向""小碗""将要放置的篮子|将""小碗""放置在篮子内|确定放稳""小碗""后，松手并恢复到初始姿态",10.533,6dof-bodywithfingers|6dof-items|vision-ego|vision-side|depth-ego|depth-side|hand-pressure,,male,175.0,60.0,25.0,CN,nr,1,1,square04/20260119/793_22,0
f8ef8490-dea8-4eff-98bb-853bc5c44b52,793_23,square04/20260119/793_23_1520617728,ITF,square04,2026/1/19,"将""小碗""从桌面放入""篮子""中",左手抓放-带tracker-高度90CM-距离15CM-放入-篮子左侧,"演员呈现初始状态|低头查看""小碗""|使用操作指定的手，抓取并抓紧""小碗""|转头看向""小碗""将要放置的篮子|将""小碗""放置在篮子内|确定放稳""小碗""后，松手并恢复到初始姿态",12.188,6dof-bodywithfingers|6dof-items|vision-ego|vision-side|depth-ego|depth-side|hand-pressure,,male,175.0,60.0,25.0,CN,nr,1,1,square04/20260119/793_23,0
60566422-0536-4ee0-bfe6-96f9299d6d8b,793_24,square04/20260119/793_24_1520617747,ITF,square04,2026/1/19,"将""小碗""从桌面放入""篮子""中",左手抓放-带tracker-高度90CM-距离15CM-放入-篮子左侧,"演员呈现初始状态|低头查看""小碗""|使用操作指定的手，抓取并抓紧""小碗""|转头看向""小碗""将要放置的篮子|将""小碗""放置在篮子内|确定放稳""小碗""后，松手并恢复到初始姿态",11.105,6dof-bodywithfingers|6dof-items|vision-ego|vision-side|depth-ego|depth-side|hand-pressure,,male,175.0,60.0,25.0,CN,nr,1,1,square04/20260119/793_24,0
aaeae46b-3f4f-4ed4-bd90-82d94089c262,793_25,square04/20260119/793_25_1520617773,ITF,square04,2026/1/19,"将""小碗""从桌面放入""篮子""中",左手抓放-带tracker-高度90CM-距离15CM-放入-篮子左侧,"演员呈现初始状态|低头查看""小碗""|使用操作指定的手，抓取并抓紧""小碗""|转头看向""小碗""将要放置的篮子|将""小碗""放置在篮子内|确定放稳""小碗""后，松手并恢复到初始姿态",11.772,6dof-bodywithfingers|6dof-items|vision-ego|vision-side|depth-ego|depth-side|hand-pressure,,male,175.0,60.0,25.0,CN,nr,1,1,square04/20260119/793_25,0
375a2015-05ac-457d-a8ac-415d9ad82182,793_26,square04/20260119/793_26_1520617791,ITF,square04,2026/1/19,"将""小碗""从桌面放入""篮子""中",左手抓放-带tracker-高度90CM-距离15CM-放入-篮子左侧,"演员呈现初始状态|低头查看""小碗""|使用操作指定的手，抓取并抓紧""小碗""|转头看向""小碗""将要放置的篮子|将""小碗""放置在篮子内|确定放稳""小碗""后，松手并恢复到初始姿态",11.203,6dof-bodywithfingers|6dof-items|vision-ego|vision-side|depth-ego|depth-side|hand-pressure,,male,175.0,60.0,25.0,CN,nr,1,1,square04/20260119/793_26,0
35bce298-ec7a-4c57-9bc2-a654363d2dcc,793_27,square04/20260119/793_27_1520617809,ITF,square04,2026/1/19,"将""小碗""从桌面放入""篮子""中",左手抓放-带tracker-高度90CM-距离15CM-放入-篮子左侧,"演员呈现初始状态|低头查看""小碗""|使用操作指定的手，抓取并抓紧""小碗""|转头看向""小碗""将要放置的篮子|将""小碗""放置在篮子内|确定放稳""小碗""后，松手并恢复到初始姿态",9.686,6dof-bodywithfingers|6dof-items|vision-ego|vision-side|depth-ego|depth-side|hand-pressure,,male,175.0,60.0,25.0,CN,nr,1,1,square04/20260119/793_27,0
675631a4-ae0d-4cbf-a5b0-2e0cc2efdcaf,793_28,square04/20260119/793_28_1520617828,ITF,square04,2026/1/19,"将""小碗""从桌面放入""篮子""中",左手抓放-带tracker-高度90CM-距离15CM-放入-篮子左侧,"演员呈现初始状态|低头查看""小碗""|使用操作指定的手，抓取并抓紧""小碗""|转头看向""小碗""将要放置的篮子|将""小碗""放置在篮子内|确定放稳""小碗""后，松手并恢复到初始姿态",10.163,6dof-bodywithfingers|6dof-items|vision-ego|vision-side|depth-ego|depth-side|hand-pressure,,male,175.0,60.0,25.0,CN,nr,1,1,square04/20260119/793_28,0
b19fba09-749c-48ba-8882-4bbc4ac6fd5b,793_29,square04/20260119/793_29_1520617845,ITF,square04,2026/1/19,"将""小碗""从桌面放入""篮子""中",左手抓放-带tracker-高度90CM-距离15CM-放入-篮子左侧,"演员呈现初始状态|低头查看""小碗""|使用操作指定的手，抓取并抓紧""小碗""|转头看向""小碗""将要放置的篮子|将""小碗""放置在篮子内|确定放稳""小碗""后，松手并恢复到初始姿态",11.576,6dof-bodywithfingers|6dof-items|vision-ego|vision-side|depth-ego|depth-side|hand-pressure,,male,175.0,60.0,25.0,CN,nr,1,1,square04/20260119/793_29,0
3c331def-48a1-4e01-8cb5-c76c0d2ae4c6,793_30,square04/20260119/793_30_1520617863,ITF,square04,2026/1/19,"将""小碗""从桌面放入""篮子""中",左手抓放-带tracker-高度90CM-距离15CM-放入-篮子左侧,"演员呈现初始状态|低头查看""小碗""|使用操作指定的手，抓取并抓紧""小碗""|转头看向""小碗""将要放置的篮子|将""小碗""放置在篮子内|确定放稳""小碗""后，松手并恢复到初始姿态",11.121,6dof-bodywithfingers|6dof-items|vision-ego|vision-side|depth-ego|depth-side|hand-pressure,,male,175.0,60.0,25.0,CN,nr,1,1,square04/20260119/793_30,0
5df42aaf-916b-4a10-9d07-680b984b535a,793_31,square04/20260119/793_31_1520617948,ITF,square04,2026/1/19,"将""小碗""从桌面放入""篮子""中",左手抓放-带tracker-高度90CM-距离15CM-放入-篮子左侧,"演员呈现初始状态|低头查看""小碗""|使用操作指定的手，抓取并抓紧""小碗""|转头看向""小碗""将要放置的篮子|将""小碗""放置在篮子内|确定放稳""小碗""后，松手并恢复到初始姿态",12.237,6dof-bodywithfingers|6dof-items|vision-ego|vision-side|depth-ego|depth-side|hand-pressure,,male,175.0,60.0,25.0,CN,nr,1,1,square04/20260119/793_31,0
6479ea83-441b-4465-8e63-460151b17e36,793_32,square04/20260119/793_32_1520617966,ITF,square04,2026/1/19,"将""小碗""从桌面放入""篮子""中",左手抓放-带tracker-高度90CM-距离15CM-放入-篮子左侧,"演员呈现初始状态|低头查看""小碗""|使用操作指定的手，抓取并抓紧""小碗""|转头看向""小碗""将要放置的篮子|将""小碗""放置在篮子内|确定放稳""小碗""后，松手并恢复到初始姿态",11.645,6dof-bodywithfingers|6dof-items|vision-ego|vision-side|depth-ego|depth-side|hand-pressure,,male,175.0,60.0,25.0,CN,nr,1,1,square04/20260119/793_32,0
38f0682d-9534-4345-977d-d755d167095f,793_33,square04/20260119/793_33_1520617984,ITF,square04,2026/1/19,"将""小碗""从桌面放入""篮子""中",左手抓放-带tracker-高度90CM-距离15CM-放入-篮子左侧,"演员呈现初始状态|低头查看""小碗""|使用操作指定的手，抓取并抓紧""小碗""|转头看向""小碗""将要放置的篮子|将""小碗""放置在篮子内|确定放稳""小碗""后，松手并恢复到初始姿态",11.883,6dof-bodywithfingers|6dof-items|vision-ego|vision-side|depth-ego|depth-side|hand-pressure,,male,175.0,60.0,25.0,CN,nr,1,1,square04/20260119/793_33,0
e71acf4d-3dc3-41b4-b4d7-f21ceb42a4d1,793_34,square04/20260119/793_34_1520618004,ITF,square04,2026/1/19,"将""小碗""从桌面放入""篮子""中",左手抓放-带tracker-高度90CM-距离15CM-放入-篮子左侧,"演员呈现初始状态|低头查看""小碗""|使用操作指定的手，抓取并抓紧""小碗""|转头看向""小碗""将要放置的篮子|将""小碗""放置在篮子内|确定放稳""小碗""后，松手并恢复到初始姿态",11.095,6dof-bodywithfingers|6dof-items|vision-ego|vision-side|depth-ego|depth-side|hand-pressure,,male,175.0,60.0,25.0,CN,nr,1,1,square04/20260119/793_34,0
cd9c33a5-dfbf-43d5-89a9-ea12c29a353b,793_35,square04/20260119/793_35_1520618022,ITF,square04,2026/1/19,"将""小碗""从桌面放入""篮子""中",左手抓放-带tracker-高度90CM-距离15CM-放入-篮子左侧,"演员呈现初始状态|低头查看""小碗""|使用操作指定的手，抓取并抓紧""小碗""|转头看向""小碗""将要放置的篮子|将""小碗""放置在篮子内|确定放稳""小碗""后，松手并恢复到初始姿态",11.22,6dof-bodywithfingers|6dof-items|vision-ego|vision-side|depth-ego|depth-side|hand-pressure,,male,175.0,60.0,25.0,CN,nr,1,1,square04/20260119/793_35,0
e889410b-02d2-4af5-901d-a09fe99d5e31,793_36,square04/20260119/793_36_1520618040,ITF,square04,2026/1/19,"将""小碗""从桌面放入""篮子""中",左手抓放-带tracker-高度90CM-距离15CM-放入-篮子左侧,"演员呈现初始状态|低头查看""小碗""|使用操作指定的手，抓取并抓紧""小碗""|转头看向""小碗""将要放置的篮子|将""小碗""放置在篮子内|确定放稳""小碗""后，松手并恢复到初始姿态",12.268,6dof-bodywithfingers|6dof-items|vision-ego|vision-side|depth-ego|depth-side|hand-pressure,,male,175.0,60.0,25.0,CN,nr,1,1,square04/20260119/793_36,0
dcf4f48c-d0e2-4350-b543-9a59df749404,793_37,square04/20260119/793_37_1520618067,ITF,square04,2026/1/19,"将""小碗""从桌面放入""篮子""中",左手抓放-带tracker-高度90CM-距离15CM-放入-篮子左侧,"演员呈现初始状态|低头查看""小碗""|使用操作指定的手，抓取并抓紧""小碗""|转头看向""小碗""将要放置的篮子|将""小碗""放置在篮子内|确定放稳""小碗""后，松手并恢复到初始姿态",12.189,6dof-bodywithfingers|6dof-items|vision-ego|vision-side|depth-ego|depth-side|hand-pressure,,male,175.0,60.0,25.0,CN,nr,1,1,square04/20260119/793_37,0
5eff9022-c573-46a2-90a6-5db6ecc0d654,793_38,square04/20260119/793_38_1520618094,ITF,square04,2026/1/19,"将""小碗""从桌面放入""篮子""中",左手抓放-带tracker-高度90CM-距离15CM-放入-篮子左侧,"演员呈现初始状态|低头查看""小碗""|使用操作指定的手，抓取并抓紧""小碗""|转头看向""小碗""将要放置的篮子|将""小碗""放置在篮子内|确定放稳""小碗""后，松手并恢复到初始姿态",11.313,6dof-bodywithfingers|6dof-items|vision-ego|vision-side|depth-ego|depth-side|hand-pressure,,male,175.0,60.0,25.0,CN,nr,1,1,square04/20260119/793_38,0
fc1cc095-ee15-4171-b230-9916bca0c99e,793_39,square04/20260119/793_39_1520618112,ITF,square04,2026/1/19,"将""小碗""从桌面放入""篮子""中",左手抓放-带tracker-高度90CM-距离15CM-放入-篮子左侧,"演员呈现初始状态|低头查看""小碗""|使用操作指定的手，抓取并抓紧""小碗""|转头看向""小碗""将要放置的篮子|将""小碗""放置在篮子内|确定放稳""小碗""后，松手并恢复到初始姿态",13.655,6dof-bodywithfingers|6dof-items|vision-ego|vision-side|depth-ego|depth-side|hand-pressure,,male,175.0,60.0,25.0,CN,nr,1,1,square04/20260119/793_39,0
452c647a-94a5-41f6-8cb6-97afdebb9d0f,793_40,square04/20260119/793_40_1520618130,ITF,square04,2026/1/19,"将""小碗""从桌面放入""篮子""中",左手抓放-带tracker-高度90CM-距离15CM-放入-篮子左侧,"演员呈现初始状态|低头查看""小碗""|使用操作指定的手，抓取并抓紧""小碗""|转头看向""小碗""将要放置的篮子|将""小碗""放置在篮子内|确定放稳""小碗""后，松手并恢复到初始姿态",11.932,6dof-bodywithfingers|6dof-items|vision-ego|vision-side|depth-ego|depth-side|hand-pressure,,male,175.0,60.0,25.0,CN,nr,1,1,square04/20260119/793_40,0
7111096f-48f4-45c7-890c-4d767263374c,793_41,square04/20260119/793_41_1520618147,ITF,square04,2026/1/19,"将""小碗""从桌面放入""篮子""中",左手抓放-带tracker-高度90CM-距离15CM-放入-篮子左侧,"演员呈现初始状态|低头查看""小碗""|使用操作指定的手，抓取并抓紧""小碗""|转头看向""小碗""将要放置的篮子|将""小碗""放置在篮子内|确定放稳""小碗""后，松手并恢复到初始姿态",10.741,6dof-bodywithfingers|6dof-items|vision-ego|vision-side|depth-ego|depth-side|hand-pressure,,male,175.0,60.0,25.0,CN,nr,1,1,square04/20260119/793_41,0
62025ab9-f319-4413-a4c7-3d8f70f39a5e,793_42,square04/20260119/793_42_1520618162,ITF,square04,2026/1/19,"将""小碗""从桌面放入""篮子""中",左手抓放-带tracker-高度90CM-距离15CM-放入-篮子左侧,"演员呈现初始状态|低头查看""小碗""|使用操作指定的手，抓取并抓紧""小碗""|转头看向""小碗""将要放置的篮子|将""小碗""放置在篮子内|确定放稳""小碗""后，松手并恢复到初始姿态",10.904,6dof-bodywithfingers|6dof-items|vision-ego|vision-side|depth-ego|depth-side|hand-pressure,,male,175.0,60.0,25.0,CN,nr,1,1,square04/20260119/793_42,0
