id,tags,name,items,steps,hints,count,done_count,seat,scene,due,enable,desc
2000,左手抓起右前方长柄刷子|放置在左侧置物架|桌子高度100CM|桌子距离15CM,左手抓起右前方长柄刷子，放置在左侧置物架,长柄刷子|置物架,演员呈现初始状态|低头注释即将操作的道具|左手抓起右前方长柄刷子|放置在左侧置物架|放下手中道具|松手并恢复到初始姿态,初始状态双手放松放置在桌面上手心朝下|手操作道具时目光跟随手动作缓慢移动|动作速度平稳|录制时长不低于10秒,5,,,HUMAN_CAGE,2025/11/30,TRUE,NR26Q2_ITF_Act1_Task001
2001,右手抓起右前方长柄刷子|放置在左侧置物架|桌子高度100CM|桌子距离15CM,右手抓起右前方长柄刷子，放置在左侧置物架,长柄刷子|置物架,演员呈现初始状态|低头注释即将操作的道具|右手抓起右前方长柄刷子|放置在左侧置物架|放下手中道具|松手并恢复到初始姿态,初始状态双手放松放置在桌面上手心朝下|手操作道具时目光跟随手动作缓慢移动|动作速度平稳|录制时长不低于10秒,5,,,HUMAN_CAGE,2025/11/30,TRUE,NR26Q2_ITF_Act1_Task001
2002,左手抓起左前方长柄刷子|放置在右侧置物架|桌子高度100CM|桌子距离15CM,左手抓起左前方长柄刷子，放置在右侧置物架,长柄刷子|置物架,演员呈现初始状态|低头注释即将操作的道具|左手抓起左前方长柄刷子|放置在右侧置物架|放下手中道具|松手并恢复到初始姿态,初始状态双手放松放置在桌面上手心朝下|手操作道具时目光跟随手动作缓慢移动|动作速度平稳|录制时长不低于10秒,5,,,HUMAN_CAGE,2025/11/30,TRUE,NR26Q2_ITF_Act1_Task001
2003,右手抓起左前方长柄刷子|放置在右侧置物架|桌子高度100CM|桌子距离15CM,右手抓起左前方长柄刷子，放置在右侧置物架,长柄刷子|置物架,演员呈现初始状态|低头注释即将操作的道具|右手抓起左前方长柄刷子|放置在右侧置物架|放下手中道具|松手并恢复到初始姿态,初始状态双手放松放置在桌面上手心朝下|手操作道具时目光跟随手动作缓慢移动|动作速度平稳|录制时长不低于10秒,5,,,HUMAN_CAGE,2025/11/30,TRUE,NR26Q2_ITF_Act1_Task001
2004,左手拿起右前方长柄刷子|右手替换左侧置物架内的长柄刷子|桌子高度100CM|桌子距离15CM,左手拿起右前方长柄刷子，右手替换左侧置物架内的长柄刷子,长柄刷子|置物架,演员呈现初始状态|低头注释即将操作的道具|左手拿起右前方长柄刷子|右手替换左侧置物架内的长柄刷子|放下手中道具|松手并恢复到初始姿态,初始状态双手放松放置在桌面上手心朝下|手操作道具时目光跟随手动作缓慢移动|动作速度平稳|录制时长不低于10秒,5,,,HUMAN_CAGE,2025/11/30,TRUE,NR26Q2_ITF_Act1_Task001
2005,右手拿起右前方长柄刷子|左手替换左侧置物架内的长柄刷子|桌子高度100CM|桌子距离15CM,右手拿起右前方长柄刷子，左手替换左侧置物架内的长柄刷子,长柄刷子|置物架,演员呈现初始状态|低头注释即将操作的道具|右手拿起右前方长柄刷子|左手替换左侧置物架内的长柄刷子|放下手中道具|松手并恢复到初始姿态,初始状态双手放松放置在桌面上手心朝下|手操作道具时目光跟随手动作缓慢移动|动作速度平稳|录制时长不低于10秒,5,,,HUMAN_CAGE,2025/11/30,TRUE,NR26Q2_ITF_Act1_Task001
2006,左手拿起左前方长柄刷子|右手替换右侧置物架内的长柄刷子|桌子高度100CM|桌子距离15CM,左手拿起左前方长柄刷子，右手替换右侧置物架内的长柄刷子,长柄刷子|置物架,演员呈现初始状态|低头注释即将操作的道具|左手拿起左前方长柄刷子|右手替换右侧置物架内的长柄刷子|放下手中道具|松手并恢复到初始姿态,初始状态双手放松放置在桌面上手心朝下|手操作道具时目光跟随手动作缓慢移动|动作速度平稳|录制时长不低于10秒,5,,,HUMAN_CAGE,2025/11/30,TRUE,NR26Q2_ITF_Act1_Task001
2007,右手拿起左前方长柄刷子|左手替换右侧置物架内的长柄刷子|桌子高度100CM|桌子距离15CM,右手拿起左前方长柄刷子，左手替换右侧置物架内的长柄刷子,长柄刷子|置物架,演员呈现初始状态|低头注释即将操作的道具|右手拿起左前方长柄刷子|左手替换右侧置物架内的长柄刷子|放下手中道具|松手并恢复到初始姿态,初始状态双手放松放置在桌面上手心朝下|手操作道具时目光跟随手动作缓慢移动|动作速度平稳|录制时长不低于10秒,5,,,HUMAN_CAGE,2025/11/30,TRUE,NR26Q2_ITF_Act1_Task001
2008,左手抓起右前方长柄刷子|放置在左侧置物架|桌子高度100CM|桌子距离25CM,左手抓起右前方长柄刷子，放置在左侧置物架,长柄刷子|置物架,演员呈现初始状态|低头注释即将操作的道具|左手抓起右前方长柄刷子|放置在左侧置物架|放下手中道具|松手并恢复到初始姿态,初始状态双手放松放置在桌面上手心朝下|手操作道具时目光跟随手动作缓慢移动|动作速度平稳|录制时长不低于10秒,5,,,HUMAN_CAGE,2025/11/30,TRUE,NR26Q2_ITF_Act1_Task001
2009,右手抓起右前方长柄刷子|放置在左侧置物架|桌子高度100CM|桌子距离25CM,右手抓起右前方长柄刷子，放置在左侧置物架,长柄刷子|置物架,演员呈现初始状态|低头注释即将操作的道具|右手抓起右前方长柄刷子|放置在左侧置物架|放下手中道具|松手并恢复到初始姿态,初始状态双手放松放置在桌面上手心朝下|手操作道具时目光跟随手动作缓慢移动|动作速度平稳|录制时长不低于10秒,5,,,HUMAN_CAGE,2025/11/30,TRUE,NR26Q2_ITF_Act1_Task001
2010,左手抓起左前方长柄刷子|放置在右侧置物架|桌子高度100CM|桌子距离25CM,左手抓起左前方长柄刷子，放置在右侧置物架,长柄刷子|置物架,演员呈现初始状态|低头注释即将操作的道具|左手抓起左前方长柄刷子|放置在右侧置物架|放下手中道具|松手并恢复到初始姿态,初始状态双手放松放置在桌面上手心朝下|手操作道具时目光跟随手动作缓慢移动|动作速度平稳|录制时长不低于10秒,5,,,HUMAN_CAGE,2025/11/30,TRUE,NR26Q2_ITF_Act1_Task001
