id,tags,name,items,steps,hints,count,done_count,seat,scene,due,enable,desc
1,将左侧手冲壶拿起|对准水杯倒入咖啡|桌子高度90CM|桌子距离15CM,将左侧手冲壶拿起，对准水杯倒入咖啡,pourover_kettle_d82mm_qc|cup_tea_yellow_d74mm_qc,演员呈现初始状态|低头注释即将操作的道具|将左侧手冲壶拿起|对准水杯倒入咖啡|放下手中道具|松手并恢复到初始姿态,初始状态双手放松放置在桌面上手心朝下|手操作道具时目光跟随手动作缓慢移动|放慢动作保证录制时长不低于10秒,5,,,HUMAN_CAGE,2025/11/30,TRUE,NR26Q2_ITF_Act1_Task001
2,拿起右前方置物架|放置在中间桌面|桌子高度90CM|桌子距离25CM,拿起右前方置物架，放置在中间桌面,置物架,演员呈现初始状态|低头注释即将操作的道具|拿起右前方置物架|放置在中间桌面|放下手中道具|松手并恢复到初始姿态,初始状态双手放松放置在桌面上手心朝下|手操作道具时目光跟随手动作缓慢移动|放慢动作保证录制时长不低于10秒,5,,,HUMAN_CAGE,2025/11/30,TRUE,NR26Q2_ITF_Act1_Task005
3,抓起左侧乐高方块|放置在右前方篮子里|桌子高度100CM|桌子距离15CM,抓起左侧乐高方块，放置在右前方篮子里,乐高方块|basket_30_xp,演员呈现初始状态|低头注释即将操作的道具|抓起左侧乐高方块|放置在右前方篮子里|放下手中道具|松手并恢复到初始姿态,初始状态双手放松放置在桌面上手心朝下|手操作道具时目光跟随手动作缓慢移动|放慢动作保证录制时长不低于10秒,5,,,HUMAN_CAGE,2025/11/30,TRUE,NR26Q2_ITF_Act1_Task006
4,将中间小烛台拿起|放置在左前方置物架|桌子高度100CM|桌子距离25CM,将中间小烛台拿起，放置在左前方置物架,小烛台|置物架,演员呈现初始状态|低头注释即将操作的道具|将中间小烛台拿起|放置在左前方置物架|放下手中道具|松手并恢复到初始姿态,初始状态双手放松放置在桌面上手心朝下|手操作道具时目光跟随手动作缓慢移动|放慢动作保证录制时长不低于10秒,5,,,HUMAN_CAGE,2025/11/30,TRUE,NR26Q2_ITF_Act1_Task003
5,拿起右侧纸团|扔进中间桌面垃圾桶|桌子高度90CM|桌子距离15CM,拿起右侧纸团，扔进中间桌面垃圾桶,纸团|桌面垃圾桶,演员呈现初始状态|低头注释即将操作的道具|拿起右侧纸团|扔进中间桌面垃圾桶|放下手中道具|松手并恢复到初始姿态,初始状态双手放松放置在桌面上手心朝下|手操作道具时目光跟随手动作缓慢移动|放慢动作保证录制时长不低于10秒,5,,,HUMAN_CAGE,2025/11/30,TRUE,NR26Q2_ITF_Act1_Task004
6,抓起左前方“鸭子”|放置在右侧置物架上|桌子高度90CM|桌子距离25CM,抓起左前方“鸭子”，放置在右侧置物架上,duck|置物架,演员呈现初始状态|低头注释即将操作的道具|抓起左前方“鸭子”|放置在右侧置物架上|放下手中道具|松手并恢复到初始姿态,初始状态双手放松放置在桌面上手心朝下|手操作道具时目光跟随手动作缓慢移动|放慢动作保证录制时长不低于10秒,5,,,HUMAN_CAGE,2025/11/30,TRUE,NR26Q2_ITF_Act1_Task001
7,拿起中间水杯|放置在右前方桌面|桌子高度100CM|桌子距离15CM,拿起中间水杯，放置在右前方桌面,cup_tea_yellow_d74mm_qc,演员呈现初始状态|低头注释即将操作的道具|拿起中间水杯|放置在右前方桌面|放下手中道具|松手并恢复到初始姿态,初始状态双手放松放置在桌面上手心朝下|手操作道具时目光跟随手动作缓慢移动|放慢动作保证录制时长不低于10秒,5,,,HUMAN_CAGE,2025/11/30,TRUE,NR26Q2_ITF_Act1_Task001
8,将左侧扫帚拿起|扫向右前方地面|桌子高度100CM|桌子距离25CM,将左侧扫帚拿起，扫向右前方地面,扫帚,演员呈现初始状态|低头注释即将操作的道具|将左侧扫帚拿起|扫向右前方地面|放下手中道具|松手并恢复到初始姿态,初始状态双手放松放置在桌面上手心朝下|手操作道具时目光跟随手动作缓慢移动|放慢动作保证录制时长不低于10秒,5,,,HUMAN_CAGE,2025/11/30,TRUE,NR26Q2_ITF_Act1_Task002
9,抓起右前方长柄刷子|放置在左侧置物架|桌子高度90CM|桌子距离15CM,抓起右前方长柄刷子，放置在左侧置物架,长柄刷子|置物架,演员呈现初始状态|低头注释即将操作的道具|抓起右前方长柄刷子|放置在左侧置物架|放下手中道具|松手并恢复到初始姿态,初始状态双手放松放置在桌面上手心朝下|手操作道具时目光跟随手动作缓慢移动|放慢动作保证录制时长不低于10秒,5,,,HUMAN_CAGE,2025/11/30,TRUE,NR26Q2_ITF_Act1_Task005
10,拿起中间纸团|替换左侧桌面垃圾桶内的纸团|桌子高度90CM|桌子距离25CM,拿起中间纸团，替换左侧桌面垃圾桶内的纸团,纸团|桌面垃圾桶,演员呈现初始状态|低头注释即将操作的道具|拿起中间纸团|替换左侧桌面垃圾桶内的纸团|放下手中道具|松手并恢复到初始姿态,初始状态双手放松放置在桌面上手心朝下|手操作道具时目光跟随手动作缓慢移动|放慢动作保证录制时长不低于10秒,5,,,HUMAN_CAGE,2025/11/30,TRUE,NR26Q2_ITF_Act1_Task004
11,将右前方手冲壶拿起|放置在左侧置物架|桌子高度100CM|桌子距离15CM,将右前方手冲壶拿起，放置在左侧置物架,pourover_kettle_d82mm_qc|置物架,演员呈现初始状态|低头注释即将操作的道具|将右前方手冲壶拿起|放置在左侧置物架|放下手中道具|松手并恢复到初始姿态,初始状态双手放松放置在桌面上手心朝下|手操作道具时目光跟随手动作缓慢移动|放慢动作保证录制时长不低于10秒,5,,,HUMAN_CAGE,2025/11/30,TRUE,NR26Q2_ITF_Act1_Task001
12,抓起左侧置物架|替换中间桌面的置物架|桌子高度100CM|桌子距离25CM,抓起左侧置物架，替换中间桌面的置物架,置物架,演员呈现初始状态|低头注释即将操作的道具|抓起左侧置物架|替换中间桌面的置物架|放下手中道具|松手并恢复到初始姿态,初始状态双手放松放置在桌面上手心朝下|手操作道具时目光跟随手动作缓慢移动|放慢动作保证录制时长不低于10秒,5,,,HUMAN_CAGE,2025/11/30,TRUE,NR26Q2_ITF_Act1_Task005
13,拿起中间乐高方块|放置在右前方篮子里|桌子高度90CM|桌子距离15CM,拿起中间乐高方块，放置在右前方篮子里,乐高方块|basket_30_xp,演员呈现初始状态|低头注释即将操作的道具|拿起中间乐高方块|放置在右前方篮子里|放下手中道具|松手并恢复到初始姿态,初始状态双手放松放置在桌面上手心朝下|手操作道具时目光跟随手动作缓慢移动|放慢动作保证录制时长不低于10秒,5,,,HUMAN_CAGE,2025/11/30,TRUE,NR26Q2_ITF_Act1_Task006
14,将左前方小烛台拿起|放置在右侧置物架|桌子高度90CM|桌子距离25CM,将左前方小烛台拿起，放置在右侧置物架,小烛台|置物架,演员呈现初始状态|低头注释即将操作的道具|将左前方小烛台拿起|放置在右侧置物架|放下手中道具|松手并恢复到初始姿态,初始状态双手放松放置在桌面上手心朝下|手操作道具时目光跟随手动作缓慢移动|放慢动作保证录制时长不低于10秒,5,,,HUMAN_CAGE,2025/11/30,TRUE,NR26Q2_ITF_Act1_Task003
15,抓起右侧扫帚|扫向中间地面|桌子高度100CM|桌子距离15CM,抓起右侧扫帚，扫向中间地面,扫帚,演员呈现初始状态|低头注释即将操作的道具|抓起右侧扫帚|扫向中间地面|放下手中道具|松手并恢复到初始姿态,初始状态双手放松放置在桌面上手心朝下|手操作道具时目光跟随手动作缓慢移动|放慢动作保证录制时长不低于10秒,5,,,HUMAN_CAGE,2025/11/30,TRUE,NR26Q2_ITF_Act1_Task002
16,拿起左前方长柄刷子|替换右侧置物架内的长柄刷子|桌子高度100CM|桌子距离25CM,拿起左前方长柄刷子，替换右侧置物架内的长柄刷子,长柄刷子|置物架,演员呈现初始状态|低头注释即将操作的道具|拿起左前方长柄刷子|替换右侧置物架内的长柄刷子|放下手中道具|松手并恢复到初始姿态,初始状态双手放松放置在桌面上手心朝下|手操作道具时目光跟随手动作缓慢移动|放慢动作保证录制时长不低于10秒,5,,,HUMAN_CAGE,2025/11/30,TRUE,NR26Q2_ITF_Act1_Task005
17,将中间水杯拿起|放置在左前方桌面|桌子高度90CM|桌子距离15CM,将中间水杯拿起，放置在左前方桌面,cup_tea_yellow_d74mm_qc,演员呈现初始状态|低头注释即将操作的道具|将中间水杯拿起|放置在左前方桌面|放下手中道具|松手并恢复到初始姿态,初始状态双手放松放置在桌面上手心朝下|手操作道具时目光跟随手动作缓慢移动|放慢动作保证录制时长不低于10秒,5,,,HUMAN_CAGE,2025/11/30,TRUE,NR26Q2_ITF_Act1_Task001
18,抓起右侧纸团|扔进左前方桌面垃圾桶|桌子高度90CM|桌子距离25CM,抓起右侧纸团，扔进左前方桌面垃圾桶,纸团|桌面垃圾桶,演员呈现初始状态|低头注释即将操作的道具|抓起右侧纸团|扔进左前方桌面垃圾桶|放下手中道具|松手并恢复到初始姿态,初始状态双手放松放置在桌面上手心朝下|手操作道具时目光跟随手动作缓慢移动|放慢动作保证录制时长不低于10秒,5,,,HUMAN_CAGE,2025/11/30,TRUE,NR26Q2_ITF_Act1_Task004
19,拿起左侧“鸭子”|放置在中间置物架上|桌子高度100CM|桌子距离15CM,拿起左侧“鸭子”，放置在中间置物架上,duck|置物架,演员呈现初始状态|低头注释即将操作的道具|拿起左侧“鸭子”|放置在中间置物架上|放下手中道具|松手并恢复到初始姿态,初始状态双手放松放置在桌面上手心朝下|手操作道具时目光跟随手动作缓慢移动|放慢动作保证录制时长不低于10秒,5,,,HUMAN_CAGE,2025/11/30,TRUE,NR26Q2_ITF_Act1_Task001
20,将右前方手冲壶拿起|对准左侧水杯倒入咖啡|桌子高度100CM|桌子距离25CM,将右前方手冲壶拿起，对准左侧水杯倒入咖啡,pourover_kettle_d82mm_qc|cup_tea_yellow_d74mm_qc,演员呈现初始状态|低头注释即将操作的道具|将右前方手冲壶拿起|对准左侧水杯倒入咖啡|放下手中道具|松手并恢复到初始姿态,初始状态双手放松放置在桌面上手心朝下|手操作道具时目光跟随手动作缓慢移动|放慢动作保证录制时长不低于10秒,5,,,HUMAN_CAGE,2025/11/30,TRUE,NR26Q2_ITF_Act1_Task001
21,将左侧手冲壶拿起|对准水杯倒入咖啡|桌子高度100CM|桌子距离15CM,将左侧手冲壶拿起，对准水杯倒入咖啡,pourover_kettle_d82mm_qc|cup_tea_yellow_d74mm_qc,演员呈现初始状态|低头注释即将操作的道具|将左侧手冲壶拿起|对准水杯倒入咖啡|放下手中道具|松手并恢复到初始姿态,初始状态双手放松放置在桌面上手心朝下|手操作道具时目光跟随手动作缓慢移动|放慢动作保证录制时长不低于10秒,5,,,HUMAN_CAGE,2025/11/30,TRUE,NR26Q2_ITF_Act1_Task001
22,拿起右前方置物架|放置在中间桌面|桌子高度100CM|桌子距离25CM,拿起右前方置物架，放置在中间桌面,置物架,演员呈现初始状态|低头注释即将操作的道具|拿起右前方置物架|放置在中间桌面|放下手中道具|松手并恢复到初始姿态,初始状态双手放松放置在桌面上手心朝下|手操作道具时目光跟随手动作缓慢移动|放慢动作保证录制时长不低于10秒,5,,,HUMAN_CAGE,2025/11/30,TRUE,NR26Q2_ITF_Act1_Task005
23,抓起左侧乐高方块|放置在右前方篮子里|桌子高度90CM|桌子距离15CM,抓起左侧乐高方块，放置在右前方篮子里,乐高方块|basket_30_xp,演员呈现初始状态|低头注释即将操作的道具|抓起左侧乐高方块|放置在右前方篮子里|放下手中道具|松手并恢复到初始姿态,初始状态双手放松放置在桌面上手心朝下|手操作道具时目光跟随手动作缓慢移动|放慢动作保证录制时长不低于10秒,5,,,HUMAN_CAGE,2025/11/30,TRUE,NR26Q2_ITF_Act1_Task006
24,将中间小烛台拿起|放置在左前方置物架|桌子高度90CM|桌子距离25CM,将中间小烛台拿起，放置在左前方置物架,小烛台|置物架,演员呈现初始状态|低头注释即将操作的道具|将中间小烛台拿起|放置在左前方置物架|放下手中道具|松手并恢复到初始姿态,初始状态双手放松放置在桌面上手心朝下|手操作道具时目光跟随手动作缓慢移动|放慢动作保证录制时长不低于10秒,5,,,HUMAN_CAGE,2025/11/30,TRUE,NR26Q2_ITF_Act1_Task003
25,拿起右侧纸团|扔进中间桌面垃圾桶|桌子高度100CM|桌子距离15CM,拿起右侧纸团，扔进中间桌面垃圾桶,纸团|桌面垃圾桶,演员呈现初始状态|低头注释即将操作的道具|拿起右侧纸团|扔进中间桌面垃圾桶|放下手中道具|松手并恢复到初始姿态,初始状态双手放松放置在桌面上手心朝下|手操作道具时目光跟随手动作缓慢移动|放慢动作保证录制时长不低于10秒,5,,,HUMAN_CAGE,2025/11/30,TRUE,NR26Q2_ITF_Act1_Task004
26,抓起左前方“鸭子”|放置在右侧置物架上|桌子高度100CM|桌子距离25CM,抓起左前方“鸭子”，放置在右侧置物架上,duck|置物架,演员呈现初始状态|低头注释即将操作的道具|抓起左前方“鸭子”|放置在右侧置物架上|放下手中道具|松手并恢复到初始姿态,初始状态双手放松放置在桌面上手心朝下|手操作道具时目光跟随手动作缓慢移动|放慢动作保证录制时长不低于10秒,5,,,HUMAN_CAGE,2025/11/30,TRUE,NR26Q2_ITF_Act1_Task001
27,拿起中间水杯|放置在右前方桌面|桌子高度90CM|桌子距离15CM,拿起中间水杯，放置在右前方桌面,cup_tea_yellow_d74mm_qc,演员呈现初始状态|低头注释即将操作的道具|拿起中间水杯|放置在右前方桌面|放下手中道具|松手并恢复到初始姿态,初始状态双手放松放置在桌面上手心朝下|手操作道具时目光跟随手动作缓慢移动|放慢动作保证录制时长不低于10秒,5,,,HUMAN_CAGE,2025/11/30,TRUE,NR26Q2_ITF_Act1_Task001
